concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason,load_table_id,load_row_id
3008880,37059159,Is a,01/01/1970,31/12/2099,,concept_relationship,0
37061444,37054660,Is a,01/01/1970,31/12/2099,,concept_relationship,0
40770631,45876114,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41882805,41881529,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42048640,42035302,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41971895,41960499,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42043070,42033996,Is a,01/01/1970,31/12/2099,,concept_relationship,0
37066592,40782506,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41989982,41975442,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42018457,42002485,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3021054,45875997,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42074955,42057543,Is a,01/01/1970,31/12/2099,,concept_relationship,0
37052020,37023214,Is a,01/01/1970,31/12/2099,,concept_relationship,0
40762226,45876186,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3021344,37054580,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41998759,41987477,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3965743,36207527,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41975736,41960568,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3022340,37062935,Is a,01/01/1970,31/12/2099,,concept_relationship,0
1988834,36210656,Is a,01/01/1970,31/12/2099,,concept_relationship,0
37077681,37040111,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42868676,37038175,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41999467,42006874,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41947584,41930951,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41946842,41929597,Is a,01/01/1970,31/12/2099,,concept_relationship,0
37051923,36206554,Is a,01/01/1970,31/12/2099,,concept_relationship,0
40758997,37068142,Is a,01/01/1970,31/12/2099,,concept_relationship,0
756045,756022,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3047630,45875980,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41917476,41915693,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41959492,41930798,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41994844,41976357,Is a,01/01/1970,31/12/2099,,concept_relationship,0
40770663,36210656,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3000682,45876244,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3023495,36208195,Is a,01/01/1970,31/12/2099,,concept_relationship,0
21491383,45876005,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41892877,41892283,Is a,01/01/1970,31/12/2099,,concept_relationship,0
36305975,36207527,Is a,01/01/1970,31/12/2099,,concept_relationship,0
1175900,45876033,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3008244,45875990,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41965773,41930951,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41990455,41978188,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3023381,37056969,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3031270,36208195,Is a,01/01/1970,31/12/2099,,concept_relationship,0
1001615,36661060,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3050731,36208195,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41954424,41930178,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3007350,45876059,Is a,01/01/1970,31/12/2099,,concept_relationship,0
46235411,36210656,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42064912,42055335,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42004275,42000240,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41896338,41902686,Is a,01/01/1970,31/12/2099,,concept_relationship,0
40771555,45876035,Is a,01/01/1970,31/12/2099,,concept_relationship,0
37029609,37076466,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3040954,36206976,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3000787,45876005,Is a,01/01/1970,31/12/2099,,concept_relationship,0
37068082,43055390,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42081346,42046446,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3005625,37042990,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41926059,41922668,Is a,01/01/1970,31/12/2099,,concept_relationship,0
36303675,45875980,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41903009,41898526,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42017125,42004000,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42027415,42018927,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3021985,45875980,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3019024,45876016,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41993631,41983019,Is a,01/01/1970,31/12/2099,,concept_relationship,0
37049603,42530164,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42027724,42018745,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42076475,42055714,Is a,01/01/1970,31/12/2099,,concept_relationship,0
21491867,45876002,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3036727,37027169,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41885633,41881659,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41900164,41893674,Is a,01/01/1970,31/12/2099,,concept_relationship,0
40761838,37058834,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41975540,41971721,Is a,01/01/1970,31/12/2099,,concept_relationship,0
37048052,37046401,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41956263,41930489,Is a,01/01/1970,31/12/2099,,concept_relationship,0
40759356,36208195,Is a,01/01/1970,31/12/2099,,concept_relationship,0
