drug_concept_id,ingredient_concept_id,amount_value,amount_unit_concept_id,numerator_value,numerator_unit_concept_id,denominator_value,denominator_unit_concept_id,box_size,valid_start_date,valid_end_date,invalid_reason,load_table_id,load_row_id
36850448,36850448,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
40167407,1154332,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
21153900,986417,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
43859206,40175801,,8510,,,,,,02/05/2010,31/12/2099,,drug_strength,0
40096061,1734205,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
44785412,19005452,,8576,,,,,,11/09/2005,31/12/2099,,drug_strength,0
40926691,45774905,,8576,,,,,,01/12/2014,31/12/2099,,drug_strength,0
43166452,19011438,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
44043212,19092061,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
40923789,19097592,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
44031862,912362,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
42706337,944360,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
44044621,19011773,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
1718661,1718661,,8576,,,,,,03/01/2017,31/12/2099,,drug_strength,0
779486,19046454,,8576,,,,,,04/06/2006,31/12/2099,,drug_strength,0
44042975,1310317,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
41111480,19049024,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
1234630,1560524,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
44070021,45892419,,8576,,,,,,02/03/2015,31/12/2099,,drug_strength,0
42613689,1125315,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
40864574,710062,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
43132977,962398,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
44081917,19014220,,8510,,,,,,01/01/1970,31/12/2099,,drug_strength,0
42957435,1149196,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
41082696,1394027,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
41299759,1503297,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
1234737,19049105,,8576,,,,,,01/01/1970,31/12/2099,,drug_strength,0
1592529,1126658,,,2,8576,,8587,,28/02/2010,31/12/2099,,drug_strength,0
43673881,19012686,,,2,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
40739360,1114620,,,2,8576,,45744809,,04/06/2018,31/12/2099,,drug_strength,0
21121210,40226742,,,2,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
35884823,19076414,,,2.75,8576,,8587,,07/12/2020,31/12/2099,,drug_strength,0
42710895,42899650,,,3,9324,,,,02/08/2018,31/12/2099,,drug_strength,0
43839928,44818506,,,3,9325,,,,02/08/2018,31/12/2099,,drug_strength,0
589064,19005046,,,4,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
44090765,1036525,,,4,9325,,,,02/08/2018,31/12/2099,,drug_strength,0
40226616,1548195,,,4,8576,,8587,,01/01/1970,31/12/2099,,drug_strength,0
2047085,19066774,,,4.5,8576,,8587,,31/07/2020,31/12/2099,,drug_strength,0
43206503,1136487,,,5,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
35134043,798874,,,5,8576,,8587,,11/03/2019,31/12/2099,,drug_strength,0
2074280,988294,,,5,8576,,8587,,31/07/2020,31/12/2099,,drug_strength,0
42714585,911486,,,5,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
41085982,44507633,,,5,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
44129603,43012724,,,6,9325,,,,02/08/2018,31/12/2099,,drug_strength,0
2073335,19070224,,,8.5,8576,,8587,,31/07/2020,31/12/2099,,drug_strength,0
35849138,967823,,,9,8576,,8587,,02/10/2020,31/12/2099,,drug_strength,0
19038950,948582,,,10,8510,,8576,,01/01/1970,31/12/2099,,drug_strength,0
779336,1301152,,,10,8576,,8587,,01/01/1970,31/12/2099,,drug_strength,0
779763,35200354,,,10,8576,,8587,,03/12/2018,31/12/2099,,drug_strength,0
41066914,1344905,,,10,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
41110072,956874,,,10,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
42966371,19037624,,,10,8576,,8587,,21/08/2018,31/12/2099,,drug_strength,0
40737547,990009,,,10,8576,,8587,,04/06/2018,31/12/2099,,drug_strength,0
43217213,19029824,,,12,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
1742333,1742253,,,15,8576,,8587,,01/01/1970,31/12/2099,,drug_strength,0
40986011,19065820,,,18,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
40861239,40798613,,,20,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
43833563,1110410,,,20,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
43283102,902251,,,20,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
43265894,19035704,,,20,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
41095261,1560524,,,20,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
41065458,1124300,,,25,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
41247258,19049024,,,25,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
40237400,787787,,,30,8576,,8587,,01/01/1970,31/12/2099,,drug_strength,0
44051788,19037446,,,30,9325,,,,02/08/2018,31/12/2099,,drug_strength,0
19078286,928006,,,30,8576,,8587,,01/01/1970,31/12/2099,,drug_strength,0
40844419,1136980,,,30,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
44110779,19066865,,,30,9325,,,,02/08/2018,31/12/2099,,drug_strength,0
44084982,40172684,,,30,9325,,,,02/08/2018,31/12/2099,,drug_strength,0
43766292,43014230,,,30,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
40226645,989878,,,30,8576,,8587,,01/01/1970,31/12/2099,,drug_strength,0
