concept_id,concept_synonym_name,language_concept_id,load_table_id,load_row_id
42002078,白石町,4181524,concept_synonym,0
41999867,相生市,4181524,concept_synonym,0
41999456,石狩郡,4181524,concept_synonym,0
42005172,磨屋町,4181524,concept_synonym,0
42001684,礼文町,4181524,concept_synonym,0
41999516,神崎郡,4181524,concept_synonym,0
41999981,秩父市,4181524,concept_synonym,0
42000686,笠岡市,4181524,concept_synonym,0
42001157,箕面市,4181524,concept_synonym,0
42001884,篠山市,4181524,concept_synonym,0
42007742,米屋町,4181524,concept_synonym,0
41999860,粟国村,4181524,concept_synonym,0
42000790,紀北町,4181524,concept_synonym,0
41999840,網走市,4181524,concept_synonym,0
41999956,綾川町,4181524,concept_synonym,0
41999955,綾部市,4181524,concept_synonym,0
42001396,練馬区,4181524,concept_synonym,0
42001558,置戸町,4181524,concept_synonym,0
42001162,美咲町,4181524,concept_synonym,0
42001085,美浦村,4181524,concept_synonym,0
41999384,羽咋郡,4181524,concept_synonym,0
42000119,羽村市,4181524,concept_synonym,0
42007549,船津町,4181524,concept_synonym,0
41999379,芳賀郡,4181524,concept_synonym,0
42001071,芽室町,4181524,concept_synonym,0
41999778,苫前郡,4181524,concept_synonym,0
42001211,茂原市,4181524,concept_synonym,0
42000275,茨城町,4181524,concept_synonym,0
42000980,草津市,4181524,concept_synonym,0
42000981,草津町,4181524,concept_synonym,0
42000852,菰野町,4181524,concept_synonym,0
42006907,藍住町,4181524,concept_synonym,0
42006985,藤里町,4181524,concept_synonym,0
42001344,行方市,4181524,concept_synonym,0
42003766,西内町,4181524,concept_synonym,0
42001472,西脇市,4181524,concept_synonym,0
42002083,設楽町,4181524,concept_synonym,0
42007232,豊富町,4181524,concept_synonym,0
42002245,豊浦町,4181524,concept_synonym,0
42007230,豊郷町,4181524,concept_synonym,0
42000530,貝塚市,4181524,concept_synonym,0
42007266,輪島市,4181524,concept_synonym,0
42001580,遠賀町,4181524,concept_synonym,0
42001640,邑楽町,4181524,concept_synonym,0
41999663,那須郡,4181524,concept_synonym,0
42007100,都城市,4181524,concept_synonym,0
42001833,酒田市,4181524,concept_synonym,0
42001487,野木町,4181524,concept_synonym,0
42006826,金井町,4181524,concept_synonym,0
42000815,金武町,4181524,concept_synonym,0
41999604,釧路郡,4181524,concept_synonym,0
42007672,鍛冶町,4181524,concept_synonym,0
42000509,鏡石町,4181524,concept_synonym,0
41999268,長崎県,4181524,concept_synonym,0
42001288,長洲町,4181524,concept_synonym,0
41999365,長生郡,4181524,concept_synonym,0
41999902,阿見町,4181524,concept_synonym,0
42002286,雲仙市,4181524,concept_synonym,0
